,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
0,M2609008891,condo,499000,0.0,1,1,San Jose,95118,CA,Santa Clara,771
1,M1493591051,condo,465000,0.0,1,2,Fremont,94536,CA,Alameda,750
2,M2448807679,condo,720000,0.0,1,1,San Jose,95110,CA,Santa Clara,791
3,M2313879074,condo,799900,0.0,2,2,San Jose,95135,CA,Santa Clara,1520
4,M2651529332,condo,650000,0.0,2,2,San Jose,95118,CA,Santa Clara,987
5,M1907461780,condo,695000,0.0,2,2,San Jose,95136,CA,Santa Clara,1250
6,M2645052852,condo,998888,0.0,2,2,San Jose,95113,CA,Santa Clara,1100
7,M1505751333,condo,769988,1.0,3,3,Morgan Hill,95037,CA,Santa Clara,1794
8,M2606191841,condo,1400000,1.0,2,3,Mountain View,94043,CA,Santa Clara,1369
9,M2058097017,condo,850000,0.0,2,2,San Jose,95138,CA,Santa Clara,1590
10,M2132370058,condo,799000,0.0,2,2,Santa Clara,95054,CA,Santa Clara,1121
11,M2632019648,condo,899000,1.0,2,2,San Jose,95125,CA,Santa Clara,1376
12,M2007180303,condo,366800,1.0,2,3,Morgan Hill,95037,CA,Santa Clara,1620
13,M2434149660,condo,829000,0.0,1,1,Palo Alto,94306,CA,Santa Clara,673
14,M1277403432,condo,1098000,1.0,2,2,Mountain View,94041,CA,Santa Clara,1300
15,M2650272439,condo,800000,0.0,2,2,San Jose,95110,CA,Santa Clara,1242
16,M2114891537,condo,475000,0.0,1,1,San Jose,95123,CA,Santa Clara,543
17,M2879343130,condo,888000,0.0,2,2,Santa Clara,95051,CA,Santa Clara,1012
18,M1590996339,condo,1150000,1.0,2,2,Sunnyvale,94086,CA,Santa Clara,1348
19,M2809069345,condo,745000,0.0,2,2,Milpitas,95035,CA,Santa Clara,1012
20,M1607597473,condo,1350000,1.0,3,3,Fremont,94539,CA,Alameda,1771
21,M1491670435,condo,840000,1.0,2,3,San Jose,95125,CA,Santa Clara,1622
22,M1087184672,condo,725000,0.0,1,1,San Jose,95110,CA,Santa Clara,953
23,M2617440499,condo,798000,0.0,1,1,Los Altos,94022,CA,Santa Clara,944
24,M9612566050,condo,1258795,2.0,2,2,Santa Clara,95054,CA,Santa Clara,1395
25,M9923044317,condo,916795,0.0,1,1,Santa Clara,95054,CA,Santa Clara,936
26,M9947420180,condo,995392,0.0,2,3,Fremont,94538,CA,Alameda,1479
27,M2495234746,condo,679999,1.0,2,3,San Jose,95139,CA,Santa Clara,1386
28,M9953328781,condo,860986,0.0,2,2,Fremont,94538,CA,Alameda,1279
29,M2950446548,condo,1250000,1.0,2,3,Santa Clara,95050,CA,Santa Clara,2088
30,M2996425629,condo,510000,0.0,1,2,San Jose,95123,CA,Santa Clara,903
31,M2595811456,condo,975000,1.0,3,4,San Jose,95123,CA,Santa Clara,2370
32,M1964715626,condo,849999,1.0,2,3,San Jose,95112,CA,Santa Clara,1507
33,M9869847273,condo,828888,0.0,2,3,Fremont,94536,CA,Alameda,1740
34,M1411709889,condo,1649000,0.0,3,3,Mountain View,94043,CA,Santa Clara,1694
35,M1779487168,condo,788888,0.0,2,2,San Jose,95124,CA,Santa Clara,1212
36,M2177001268,condo,565000,0.0,1,2,San Jose,95135,CA,Santa Clara,1127
37,M2855296997,condo,988000,0.0,2,3,Santa Clara,95054,CA,Santa Clara,1361
38,M1491009032,condo,1229000,1.0,2,3,Santa Clara,95054,CA,Santa Clara,1646
39,M2926920366,condo,1500000,1.0,2,3,Saratoga,95070,CA,Santa Clara,1988
40,M2279981221,condo,724999,1.0,2,3,Morgan Hill,95037,CA,Santa Clara,1932
41,M1938972320,condo,442000,0.0,2,2,San Jose,95135,CA,Santa Clara,1223
42,M2008269395,condo,629000,1.0,2,2,Morgan Hill,95037,CA,Santa Clara,1613
43,M2071203257,condo,599950,0.0,1,2,San Jose,95112,CA,Santa Clara,665
