,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M1947154472,single_family,850000,0.0,2.0,3,Los Angeles,6207 Keniston Ave,90043,CA,Los Angeles,1425.0,5649.0
1,M1877462085,single_family,624900,0.0,2.0,3,Los Angeles,5607 S Wilton Pl,90062,CA,Los Angeles,1268.0,5470.0
2,M2313200155,single_family,610000,0.0,2.0,3,Sun Valley,9169 Oneida Ave,91352,CA,Los Angeles,1300.0,10487.0
3,M2358860381,single_family,1999000,0.0,4.0,3,West Los Angeles,11230 Pickford St,90064,CA,Los Angeles,2573.0,6026.0
4,M2263164590,single_family,739000,0.0,2.0,4,Los Angeles,5011 S Budlong Ave,90037,CA,Los Angeles,1820.0,5941.0
5,M1276174176,single_family,550888,0.0,1.0,2,Gardena,15934 S Ainsworth St,90247,CA,Los Angeles,956.0,6812.0
6,M9989153981,single_family,449900,0.0,2.0,3,Los Angeles,1364 E 110th St,90059,CA,Los Angeles,1150.0,2834.0
7,M1937357901,single_family,395000,0.0,2.0,4,Los Angeles,9621 Beach St,90002,CA,Los Angeles,1360.0,3326.0
8,M1612812659,single_family,699000,1.0,2.0,4,Northridge,9524 Forbes Ave,91343,CA,Los Angeles,1816.0,7858.0
9,M2829660625,single_family,390000,0.0,1.0,3,Los Angeles,5053 Long Beach Ave,90058,CA,Los Angeles,980.0,2623.0
10,M2177041774,single_family,500000,0.0,1.0,3,Pacoima,11718 Borden Ave,91331,CA,Los Angeles,1765.0,7947.0
11,M1694873487,single_family,659000,0.0,1.0,3,Los Angeles,5119 Chester St,90032,CA,Los Angeles,988.0,5097.0
12,M2467772283,single_family,2599900,1.0,4.0,3,Los Angeles,845 N Crescent Heights Blvd,90046,CA,Los Angeles,2500.0,6056.0
13,M1186436564,single_family,1399000,0.0,1.0,3,Culver City,12054 Marshall St,90230,CA,Los Angeles,1321.0,4647.0
14,M1263009852,single_family,900000,0.0,2.0,4,Los Angeles,2909 Kenwood Ave,90007,CA,Los Angeles,2736.0,6590.0
15,M2305959190,single_family,1313600,0.0,6.0,5,Porter Ranch,18853 Beechtree Ln,91326,CA,Los Angeles,4694.0,11133.0
16,M2309035113,single_family,719000,0.0,2.0,4,Harbor City,23324 Maltby Pl,90710,CA,Los Angeles,1574.0,5046.0
17,M2552965376,single_family,559000,0.0,2.0,3,Los Angeles,6000 S Van Ness Ave,90047,CA,Los Angeles,1640.0,4928.0
18,M2546656060,single_family,375000,0.0,1.0,2,Los Angeles,1118 E Lanzit Ave,90059,CA,Los Angeles,946.0,4145.0
19,M1392017025,single_family,625000,0.0,2.0,3,Canoga Park,21032 Baltar St,91304,CA,Los Angeles,1617.0,7507.0
20,M1164113041,single_family,719900,0.0,2.0,3,Lake Balboa,6456 Aldea Ave,91406,CA,Los Angeles,1312.0,6762.0
21,M1542484825,single_family,1275000,0.0,2.0,2,Los Angeles,3922 Melbourne Ave,90027,CA,Los Angeles,1100.0,6896.0
22,M1877096426,single_family,899000,0.0,2.0,3,Woodland Hills,22030 San Miguel St,91364,CA,Los Angeles,1701.0,6209.0
23,M2175447562,single_family,1995000,1.0,4.0,5,Encino,17956 Lake Vista Dr,91316,CA,Los Angeles,4362.0,18284.0
24,M1319638341,single_family,2199000,0.0,4.0,3,Studio City,3876 Eureka Dr,91604,CA,Los Angeles,3707.0,18001.0
25,M2162479014,single_family,1549000,1.0,3.0,3,Encino,4405 Alonzo Ave,91316,CA,Los Angeles,2665.0,18869.0
26,M2149324136,single_family,4095000,2.0,4.0,5,Encino,17925 Medley Dr,91316,CA,Los Angeles,5373.0,30635.0
27,M1088111030,single_family,1249000,1.0,2.0,3,Sherman Oaks,14324 Weddington St,91401,CA,Los Angeles,1636.0,5436.0
