,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,lot_size,building_size
0,M1468555554,single_family,1895000,1.0,3,4,San Francisco,94131,CA,San Francisco,3659,2943
1,M2800081436,single_family,1000000,0.0,2,3,Berkeley,94710,CA,Alameda,5300,1382
2,M1321355081,single_family,1595000,0.0,2,2,San Francisco,94127,CA,San Francisco,3149,2050
3,M2224594859,single_family,379000,0.0,1,2,Oakland,94621,CA,Alameda,6250,969
4,M1745194402,single_family,1949000,0.0,2,5,Oakland,94618,CA,Alameda,4240,2112
5,M2302917262,single_family,998000,0.0,3,4,San Francisco,94124,CA,San Francisco,1873,1800
6,M1817504913,single_family,998000,1.0,1,2,Daly City,94015,CA,San Mateo,4329,1300
7,M2496491088,single_family,1575000,0.0,4,4,San Francisco,94112,CA,San Francisco,2663,2015
8,M1309836756,single_family,3395000,0.0,4,4,San Francisco,94121,CA,San Francisco,2996,3264
9,M9990825176,single_family,850000,1.0,2,2,Oakland,94608,CA,Alameda,1921,1280
10,M1505109561,single_family,2995000,1.0,4,4,Tiburon,94920,CA,Marin,5502,2885
11,M1740040329,single_family,1600000,0.0,3,6,Alameda,94501,CA,Alameda,7110,2597
12,M1600960683,single_family,1375000,1.0,1,2,Oakland,94618,CA,Alameda,4000,1140
13,M1755617493,single_family,1300000,0.0,4,6,Alameda,94501,CA,Alameda,3381,2740
14,M1311627905,single_family,1245000,1.0,1,3,Oakland,94611,CA,Alameda,3000,1450
15,M1570626206,single_family,1999900,0.0,4,4,Oakland,94609,CA,Alameda,5320,1954
16,M1244661007,single_family,1899000,0.0,4,4,Oakland,94610,CA,Alameda,5160,3398
17,M1755915621,single_family,1095000,0.0,2,4,Alameda,94501,CA,Alameda,3200,1607
18,M2422279311,single_family,2995000,1.0,4,5,Piedmont,94611,CA,Alameda,6816,3060
19,M2706782098,single_family,875000,0.0,1,2,Brisbane,94005,CA,San Mateo,3100,740
20,M1982790679,single_family,998000,1.0,2,3,Alameda,94502,CA,Alameda,3575,1666
21,M1645304037,single_family,7277000,1.0,5,6,Belvedere,94920,CA,Marin,18731,5574
22,M2612183405,single_family,945000,0.0,1,2,Oakland,94607,CA,Alameda,6450,960
23,M2600571716,single_family,2395000,1.0,3,3,San Francisco,94110,CA,San Francisco,1773,2020
24,M2499177904,single_family,799000,0.0,2,2,Daly City,94014,CA,San Mateo,1412720,1321
25,M1825849274,single_family,898000,0.0,2,3,Oakland,94619,CA,Alameda,5520,1530
26,M2390394247,single_family,800000,0.0,1,3,Daly City,94015,CA,San Mateo,6762,1170
27,M1594605938,single_family,888888,0.0,2,3,Daly City,94015,CA,San Mateo,3400,1230
28,M2422559800,single_family,2350000,0.0,2,3,Sausalito,94965,CA,Marin,1999,1966
29,M2893879813,single_family,2850000,1.0,3,4,Berkeley,94703,CA,Alameda,6750,3233
30,M1858196112,single_family,799000,0.0,1,2,Oakland,94619,CA,Alameda,3600,1143
31,M2366105015,single_family,385000,0.0,2,4,Oakland,94602,CA,Alameda,2500,1417
32,M1404904560,single_family,1595000,1.0,1,4,Oakland,94609,CA,Alameda,4400,2334
33,M1287543499,single_family,3695000,0.0,3,4,San Francisco,94127,CA,San Francisco,5340,3680
34,M2861456059,single_family,1395000,0.0,2,3,San Francisco,94131,CA,San Francisco,2927,1267
35,M2746590287,single_family,500000,0.0,1,2,Oakland,94601,CA,Alameda,2380,720
36,M2819420076,single_family,2595000,1.0,4,4,San Francisco,94116,CA,San Francisco,3114,2550
37,M1511471399,single_family,850000,0.0,1,1,San Francisco,94122,CA,San Francisco,2996,489
38,M1212467634,single_family,2995000,1.0,3,4,San Francisco,94110,CA,San Francisco,1750,3015
39,M2711090365,single_family,1389000,0.0,3,5,Berkeley,94703,CA,Alameda,6650,2733
40,M2077592853,single_family,1599000,0.0,3,4,San Francisco,94112,CA,San Francisco,136778400,1585
41,M2424605086,single_family,5595000,0.0,5,4,San Francisco,94114,CA,San Francisco,2665,4587
42,M2809979655,single_family,629000,0.0,1,2,Oakland,94602,CA,Alameda,4520,824
43,M1392979458,single_family,899000,0.0,3,3,Oakland,94608,CA,Alameda,3535,2190
44,M1875571029,single_family,2475000,1.0,2,3,San Francisco,94122,CA,San Francisco,3000,2325
45,M1887151749,single_family,879000,0.0,2,3,Oakland,94619,CA,Alameda,6250,1940
46,M2844451417,single_family,1299000,0.0,1,3,San Francisco,94127,CA,San Francisco,2731,1450
47,M1686746883,single_family,1520000,0.0,1,2,Oakland,94618,CA,Alameda,4000,1532
48,M2493578047,single_family,1500000,0.0,2,3,San Francisco,94122,CA,San Francisco,2060,1402
49,M2866956897,single_family,1288000,0.0,1,2,San Francisco,94122,CA,San Francisco,2996,1259
50,M2985566169,single_family,2150000,0.0,2,3,San Francisco,94110,CA,San Francisco,2500,1970
51,M2680840721,single_family,2999000,1.0,3,4,San Francisco,94117,CA,San Francisco,1999,3196
52,M1662251786,single_family,525000,0.0,1,1,Oakland,94601,CA,Alameda,2500,808
