,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M1896367106,single_family,689000,0.0,2.0,4,Anaheim Hills,247 N Paseo Madero,92807,CA,Orange,1382.0,7150.0
1,M1802846038,single_family,669900,0.0,2.0,4,Anaheim,1418 W Kimberly Ln,92802,CA,Orange,1664.0,7706.0
2,M1794705615,single_family,1149888,0.0,3.0,5,Anaheim Hills,716 S Heatherglen Cir,92808,CA,Orange,3139.0,7125.0
3,M2080460862,single_family,2275000,1.0,4.0,5,Anaheim Hills,4830 E Santa Ana Canyon Rd,92807,CA,Orange,4193.0,47916.0
4,M1805736334,single_family,825000,1.0,2.0,4,Anaheim,6493 E Via Arboles,92807,CA,Orange,2218.0,23250.0
5,M1496653155,single_family,799900,0.0,3.0,4,Anaheim,3213 Donovan Ranch Rd,92804,CA,Orange,2525.0,3469.0
6,M1597697024,single_family,649000,0.0,2.0,3,Anaheim,219 S Nutwood St,92804,CA,Orange,1379.0,6060.0
7,M2250505358,single_family,650000,0.0,2.0,3,Anaheim Hills,5712 E Hudson Bay Dr,92807,CA,Orange,1419.0,5880.0
8,M2750797487,single_family,695000,1.0,2.0,4,Anaheim,519 N Royal St,92806,CA,Orange,2010.0,7722.0
9,M2280441282,single_family,720000,0.0,2.0,4,Anaheim,1749 N Bedford Cir,92806,CA,Orange,1507.0,7700.0
10,M1527450723,single_family,599900,0.0,2.0,3,Anaheim,2459 W Cerritos Ave,92804,CA,Orange,1348.0,7182.0
11,M2343223023,single_family,2900000,1.0,5.0,5,Anaheim,6970 E Avenida De Santiago,92807,CA,Orange,5134.0,63554.0
12,M2965912954,single_family,489000,0.0,1.0,3,Anaheim,206 E LA Palma Ave,92801,CA,Orange,986.0,3328.0
13,M2107627734,single_family,948000,1.0,2.0,4,Anaheim Hills,5191 E Cavendish Ln,92807,CA,Orange,3094.0,9240.0
14,M2727446262,single_family,659900,0.0,2.0,3,Anaheim,1920 N Deer Creek Cir,92807,CA,Orange,1285.0,6363.0
15,M2249275582,single_family,960000,1.0,2.0,3,Anaheim Hills,625 S Pathfinder Trl,92807,CA,Orange,2461.0,11400.0
16,M1465924651,single_family,615000,0.0,2.0,4,Anaheim,204 S Gain St,92804,CA,Orange,1481.0,5000.0
