,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
0,M1493591051,condo,465000,0.0,1,2,Fremont,94536,CA,Alameda,750
1,M1570443912,condo,398000,0.0,1,2,Walnut Creek,94595,CA,Contra Costa,1158
2,M1652913442,condo,585000,0.0,2,2,Walnut Creek,94595,CA,Contra Costa,1054
3,M2216724467,condo,1300000,0.0,1,1,San Francisco,94107,CA,San Francisco,881
4,M1104240183,condo,425000,0.0,1,1,Union City,94587,CA,Alameda,695
5,M2380678474,condo,988888,1.0,2,3,Fremont,94536,CA,Alameda,1730
6,M1241792261,condo,400000,0.0,1,1,Oakland,94607,CA,Alameda,668
7,M1219040441,condo,679000,1.0,2,3,Hayward,94541,CA,Alameda,1468
8,M1077822269,condo,480000,0.0,2,2,Walnut Creek,94596,CA,Contra Costa,1077
9,M1671813815,condo,2695000,0.0,3,3,San Francisco,94123,CA,San Francisco,2030
10,M1764025961,condo,1795000,0.0,2,2,San Francisco,94105,CA,San Francisco,1238
11,M2455581307,condo,1550000,0.0,1,2,San Francisco,94127,CA,San Francisco,1293
12,M2298641856,condo,499000,1.0,1,2,Castro Valley,94546,CA,Alameda,1014
13,M1251903041,condo,799000,0.0,2,2,Oakland,94612,CA,Alameda,1062
14,M1894370734,condo,1200000,0.0,1,2,San Francisco,94110,CA,San Francisco,1216
15,M1027587778,condo,590000,1.0,2,2,Walnut Creek,94597,CA,Contra Costa,1202
16,M2377460642,condo,440000,0.0,2,2,Hercules,94547,CA,Contra Costa,1274
17,M1560978362,condo,589900,0.0,2,2,Walnut Creek,94595,CA,Contra Costa,1054
18,M2125057127,condo,789000,0.0,1,3,San Mateo,94403,CA,San Mateo,1008
19,M2873922663,condo,625000,0.0,2,2,Walnut Creek,94595,CA,Contra Costa,1212
20,M9706118596,condo,1499000,0.0,2,2,San Francisco,94110,CA,San Francisco,1144
21,M2606508496,condo,435000,0.0,1,2,San Ramon,94583,CA,Contra Costa,1039
22,M9967892468,condo,1149000,0.0,2,2,San Francisco,94110,CA,San Francisco,1038
23,M1585872012,condo,360000,0.0,2,2,Walnut Creek,94595,CA,Contra Costa,1157
24,M1714705296,condo,949000,0.0,1,1,San Francisco,94107,CA,San Francisco,868
25,M1083060869,condo,500000,1.0,2,3,San Pablo,94806,CA,Contra Costa,1541
26,M9976441698,condo,1100000,0.0,1,2,San Francisco,94117,CA,San Francisco,1017
27,M1909572212,condo,370000,0.0,1,1,Walnut Creek,94598,CA,Contra Costa,665
28,M2128364994,condo,610000,0.0,2,3,Dublin,94568,CA,Alameda,1070
29,M9916059439,condo,795000,0.0,1,1,San Francisco,94110,CA,San Francisco,538
30,M2191963741,condo,469000,0.0,2,2,Hayward,94544,CA,Alameda,878
31,M1196323961,condo,2395000,0.0,3,4,Tiburon,94920,CA,Marin,2127
32,M2866587509,condo,549000,0.0,2,2,San Ramon,94582,CA,Contra Costa,1058
33,M2824204760,condo,489999,1.0,2,2,Pinole,94564,CA,Contra Costa,1651
34,M2308358090,condo,799888,0.0,2,2,San Francisco,94124,CA,San Francisco,1219
35,M1342496821,condo,1850000,1.0,2,2,San Francisco,94103,CA,San Francisco,1227
36,M1358830770,condo,335000,0.0,1,1,Richmond,94804,CA,Contra Costa,533
37,M1075880954,condo,599000,0.0,2,2,Union City,94587,CA,Alameda,1006
38,M1161262148,condo,749000,1.0,2,2,Oakland,94607,CA,Alameda,1459
39,M9621548757,condo,839984,1.0,3,4,San Leandro,94578,CA,Alameda,1918
40,M1474713144,condo,815000,0.0,1,1,Lafayette,94549,CA,Contra Costa,911
41,M1262771427,condo,1059888,0.0,4,4,San Ramon,94582,CA,Contra Costa,2232
42,M1599995804,condo,549000,0.0,1,2,Walnut Creek,94595,CA,Contra Costa,1330
43,M1466440810,condo,689000,0.0,3,3,San Leandro,94577,CA,Alameda,1514
44,M1997804880,condo,1200000,0.0,1,1,San Francisco,94133,CA,San Francisco,1028
45,M2651192193,condo,649000,0.0,2,2,Oakland,94612,CA,Alameda,1648
46,M1212121572,condo,910000,0.0,2,3,Corte Madera,94925,CA,Marin,1596
47,M1528407928,condo,408000,0.0,1,2,Walnut Creek,94595,CA,Contra Costa,1054
48,M1262072057,condo,1178000,1.0,1,1,San Francisco,94158,CA,San Francisco,925
49,M1112677143,condo,799000,0.0,2,2,San Francisco,94124,CA,San Francisco,1051
50,M1618991375,condo,1199000,0.0,2,2,Oakland,94607,CA,Alameda,2411
51,M9863089927,condo,1430000,0.0,2,2,San Francisco,94123,CA,San Francisco,968
52,M1095219044,condo,1455000,0.0,1,2,San Francisco,94133,CA,San Francisco,1135
53,M1229658118,condo,728000,0.0,1,1,San Francisco,94103,CA,San Francisco,563
54,M1411315583,condo,1089000,0.0,1,1,San Francisco,94105,CA,San Francisco,920
55,M2044755260,condo,715000,0.0,1,1,San Francisco,94109,CA,San Francisco,632
56,M2877362319,condo,2688000,0.0,2,3,San Francisco,94133,CA,San Francisco,2700
57,M2096325147,condo,196842,0.0,1,1,San Francisco,94124,CA,San Francisco,530
58,M2095281701,condo,240000,0.0,1,1,San Francisco,94124,CA,San Francisco,506
59,M1685751430,condo,1079000,0.0,1,1,San Francisco,94105,CA,San Francisco,759
