,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
0,M2295725393,condo,514900,1,2,2,Anaheim,3534 W Savanna St,92804,CA,Orange,1412
1,M2902733180,condo,759000,0,3,3,Anaheim Hills,215 S San Vicente Ln,92807,CA,Orange,2255
2,M2574967170,condo,349500,0,1,1,Anaheim,1801 E Katella Ave Apt 1100,92805,CA,Orange,651
3,M1415009224,condo,400000,1,1,1,Anaheim Hills,7920 E Monte Carlo Ave,92808,CA,Orange,880
4,M2734182563,condo,379900,0,2,2,Anaheim,1950 W Glenoaks Ave Apt B,92801,CA,Orange,1204
5,M2193334327,condo,475000,1,2,3,Anaheim,2022 W Lafayette Dr Unit 6,92801,CA,Orange,1219
6,M2284713293,condo,280000,0,1,1,Anaheim,278 N Wilshire Ave Ph B2,92801,CA,Orange,682
7,M2685364178,condo,369000,0,1,1,Anaheim,1801 E Katella Ave Apt 3014,92805,CA,Orange,651
8,M1445991744,condo,314900,0,1,2,Anaheim,1250 S Brookhurst St Unit 2089,92804,CA,Orange,856
9,M1359147577,condo,647500,1,2,3,Anaheim Hills,7923 E Viewrim Dr,92808,CA,Orange,1611
10,M1422462413,condo,388000,1,1,1,Anaheim Hills,1022 S Gibraltar Ave,92808,CA,Orange,865
11,M9211699645,condo,573000,1,2,2,Anaheim,727 S Mosaic St,92805,CA,Orange,1378
12,M1973713533,condo,525000,0,2,3,Anaheim,2086 S June Pl,92802,CA,Orange,1232
13,M1712066202,condo,449999,1,1,2,Anaheim,1667 S Heritage Cir Unit B,92804,CA,Orange,1248
14,M2553867829,condo,459000,0,2,2,Anaheim,1801 E Katella Ave Apt 1021,92805,CA,Orange,1095
15,M2285088153,condo,635000,0,3,3,Anaheim Hills,730 S Camino Grande,92807,CA,Orange,1539
16,M2719384743,condo,544900,1,2,3,Anaheim Hills,919 S Pagossa Way,92808,CA,Orange,1250
17,M1395742732,condo,385000,0,1,1,Anaheim,1135 S Positano Ave,92808,CA,Orange,761
18,M2197811315,condo,525000,0,2,3,Anaheim Hills,5641 E Vista Del Cerro,92807,CA,Orange,1537
19,M2792113770,condo,500000,0,2,3,Anaheim Hills,1022 S Rossano Way,92808,CA,Orange,1187
20,M2830325454,condo,479900,0,2,2,Anaheim Hills,8412 E Arrowhead Way,92808,CA,Orange,998
21,M1905258871,condo,565000,1,2,3,Anaheim Hills,8527 E Tioga Way,92808,CA,Orange,1250
22,M2825019597,condo,479900,0,2,2,Anaheim Hills,1023 S Stresa Way,92808,CA,Orange,1014
23,M2979236460,condo,590000,1,2,2,Anaheim Hills,984 S Rim Crest Dr Unit 7,92807,CA,Orange,1661
24,M2477966060,condo,549000,0,2,2,Anaheim,514 S Anaheim Blvd Unit 2,92805,CA,Orange,1450
25,M2106770618,condo,650000,1,2,4,Anaheim Hills,670 S Gentry Ln,92807,CA,Orange,2100
26,M2275410105,condo,539500,1,2,3,Anaheim,549 W Summerfield Cir,92802,CA,Orange,1497
27,M2246046589,condo,429000,0,2,2,Anaheim,435 W Center Street Promenade Unit 407,92805,CA,Orange,1088
28,M1392388797,condo,599990,0,2,2,Anaheim Hills,7733 E Viewrim Dr,92808,CA,Orange,1357
29,M9525666102,condo,665880,1,3,3,Anaheim,1696 W Rhombus Ln,92802,CA,Orange,1964
30,M9901974529,condo,384900,1,1,3,Anaheim,1779 N Cedar Glen Dr Unit D216,92807,CA,Orange,1134
31,M1913755506,condo,365000,1,1,2,Anaheim,1800 W Gramercy Ave Apt 3,92801,CA,Orange,964
32,M9846943995,condo,674921,1,3,4,Anaheim,535 Motif St,92805,CA,Orange,2179
33,M9801202116,condo,400000,1,1,3,Anaheim,5488 E Willow Woods /C Ln Unit 99,92807,CA,Orange,1068
34,M2484961878,condo,549000,1,2,2,Anaheim,2764 W Madison Cir,92801,CA,Orange,1551
35,M2933116724,condo,330000,0,2,2,Anaheim,1082 S Citron St Unit 49,92805,CA,Orange,988
36,M2867491399,condo,568000,0,2,2,Anaheim Hills,5567 E Stetson Ct Unit 49,92807,CA,Orange,1530
37,M1611441858,condo,335000,0,1,1,Anaheim,3535 W Stonepine Ln Unit C,92804,CA,Orange,798
38,M1173680970,condo,559000,1,2,3,Anaheim,823 S Anaheim Blvd Unit 102,92805,CA,Orange,1583
39,M1818364414,condo,555000,1,2,2,Anaheim Hills,1010 S Dewcrest Dr,92808,CA,Orange,1460
40,M1755632440,condo,329500,0,1,1,Anaheim,3575 W Stonepine Ln Unit 213,92804,CA,Orange,798
41,M2841614588,condo,725000,1,2,3,Anaheim,1884 W Surf Dr,92801,CA,Orange,2240
42,M1081318603,condo,339000,0,2,2,Anaheim,278 N Wilshire Ave Unit 144,92801,CA,Orange,1074
43,M1808365799,condo,629900,1,2,3,Anaheim,501 S Anaheim Blvd,92805,CA,Orange,1941
44,M9051452775,condo,659900,0,3,3,Anaheim,918 E Weaver Ln,92802,CA,Orange,1533
45,M2140682625,condo,790000,1,2,3,Anaheim Hills,4364 E Terra Vista Ln,92807,CA,Orange,2815
46,M1853347413,condo,529000,0,3,3,Anaheim Hills,952 S Country Glen Way,92808,CA,Orange,1171
47,M1704605002,condo,286900,0,1,2,Anaheim,957 S Citron St Unit 7,92805,CA,Orange,824
48,M1504275678,condo,455000,1,2,3,Anaheim,1700 W Cerritos Ave Unit 103,92804,CA,Orange,1239
49,M9457151729,condo,694119,1,3,4,Anaheim,783 Mosaic St,92805,CA,Orange,1841
50,M1822708815,condo,370000,0,1,1,Anaheim,1801 E Katella Ave Apt 4069,92805,CA,Orange,728
51,M2457412168,condo,395000,0,1,2,Anaheim,1704 N Willow Woods Dr Unit B,92807,CA,Orange,882
52,M2167659405,condo,448880,1,1,1,Anaheim,425 S Anaheim Blvd Unit 8,92805,CA,Orange,1055
53,M9777041358,condo,542000,1,2,2,Anaheim,577 Motif St,92805,CA,Orange,1364
54,M9750295224,condo,661400,1,2,2,Anaheim,575 Motif St,92805,CA,Orange,1975
55,M9786318168,condo,709374,1,3,4,Anaheim,539 Motif St,92805,CA,Orange,2179
56,M1769770937,condo,659000,0,3,3,Anaheim Hills,6092 E Morningview Dr Unit 3,92807,CA,Orange,1392
57,M2459312731,condo,399000,0,1,2,Anaheim,1760 N Oak Knoll Dr Unit 250,92807,CA,Orange,882
58,M9389612164,condo,621990,1,3,3,Anaheim,642 S Kinney Way,92805,CA,Orange,1699
59,M2913291149,condo,305000,0,2,2,Anaheim,1122 S Citron St Unit 84,92805,CA,Orange,988
60,M1042136658,condo,380000,0,1,2,Anaheim,3008 W Cheryllyn Ln Unit 6,92804,CA,Orange,834
61,M9760952189,condo,669900,0,3,3,Anaheim,939 E Weaver Ln,92802,CA,Orange,1533
62,M1416015405,condo,385000,0,1,1,Anaheim Hills,1023 S Positano Ave,92808,CA,Orange,743
63,M1898191547,condo,515000,1,2,3,Anaheim,618 W Vermont Ave Unit 31,92805,CA,Orange,1240
64,M2899749459,condo,599000,0,2,3,Anaheim,1990 W Windward Dr,92801,CA,Orange,1621
