,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
0,M1515003042,condo,425000,0.0,2,2,San Diego,5750 Friars Rd Apt 207,92110,CA,San Diego,1139
1,M2708613173,condo,509000,0.0,2,2,San Diego,4914 Haight Ter,92123,CA,San Diego,1232
2,M1480199800,condo,325000,0.0,1,1,San Diego,2835 C St Unit 7,92102,CA,San Diego,544
3,M9693066790,condo,749000,0.0,2,2,La Jolla,5370 LA Jolla Blvd Unit 105B,92037,CA,San Diego,1466
4,M1025863457,condo,619900,1.0,2,2,San Diego,3955 Nobel Dr Unit 194,92122,CA,San Diego,1100
5,M1131363340,condo,199800,0.0,1,1,San Diego,4860 Rolando Ct Unit 65,92115,CA,San Diego,578
6,M2855209504,condo,418000,0.0,1,2,San Diego,3664 Clairemont Dr Unit 1C,92117,CA,San Diego,840
7,M2581894630,condo,695000,1.0,2,2,San Diego,4057 1st Ave Unit 105,92103,CA,San Diego,1617
8,M2286429420,condo,735000,0.0,2,2,La Jolla,4155 Executive Dr Unit E409,92037,CA,San Diego,1102
9,M2973243920,condo,399000,0.0,1,1,San Diego,425 W Beech St Unit 436,92101,CA,San Diego,749
10,M1955518704,condo,849000,1.0,2,2,La Jolla,6413 Caminito Aronimink,92037,CA,San Diego,1604
11,M1978929267,condo,1925000,1.0,2,3,San Diego,1150 Anchorage Ln Unit 612,92106,CA,San Diego,2208
12,M1446051480,condo,648000,0.0,1,2,La Jolla,7514 Girard Ave Apt A,92037,CA,San Diego,624
13,M2655591012,condo,849999,1.0,2,3,San Diego,10620 Canyon Grove Trl Unit 9,92130,CA,San Diego,1636
14,M2501344862,condo,309900,0.0,1,1,San Diego,4099 Huerfano Ave Unit 111,92117,CA,San Diego,600
15,M1515340942,condo,559000,0.0,2,3,San Diego,5805 Friars Rd Apt 2302,92110,CA,San Diego,1430
16,M1755144775,condo,239000,0.0,1,0,San Diego,1337 Caminito Gabaldon Unit H,92108,CA,San Diego,506
17,M1399343066,condo,729888,1.0,2,3,San Diego,15947 Parkview Loop,92127,CA,San Diego,1628
18,M1962637108,condo,765000,1.0,3,3,San Diego,7940 Modern Oasis Dr,92108,CA,San Diego,1760
19,M1480139636,condo,490000,0.0,1,1,San Diego,1150 J St Unit 822,92101,CA,San Diego,994
20,M2244714829,condo,649999,0.0,2,2,San Diego,1970 Columbia St Unit 506,92101,CA,San Diego,1064
21,M1556889961,condo,329000,0.0,1,2,San Diego,1124 Eureka St Apt 24,92110,CA,San Diego,850
22,M2551762746,condo,945000,1.0,1,2,San Diego,3920 Riviera Dr Unit S,92109,CA,San Diego,1100
23,M2245886827,condo,324900,1.0,1,2,San Diego,6765 Amherst St Unit D,92115,CA,San Diego,1097
24,M1818108840,condo,729500,0.0,2,2,San Diego,1199 Pacific Hwy Unit 404,92101,CA,San Diego,1336
25,M2038792675,condo,849000,1.0,2,4,San Diego,16039 Veridian Cir,92127,CA,San Diego,2086
26,M1415318450,condo,375000,0.0,1,0,San Diego,120 Island Ave Unit 442,92101,CA,San Diego,699
27,M1775158391,condo,180000,0.0,1,0,San Diego,6101 Adelaide Ave Unit 113,92115,CA,San Diego,299
28,M2328927054,condo,429900,0.0,1,1,San Diego,1431 Pacific Hwy Unit 202,92101,CA,San Diego,615
29,M1253007201,condo,389900,0.0,1,1,San Diego,253 10th Ave Unit 229,92101,CA,San Diego,832
30,M1271507373,condo,650000,0.0,2,2,San Diego,2148 Drescher St,92111,CA,San Diego,1248
31,M1812802064,condo,774999,0.0,2,2,San Diego,8377 Distinctive Dr,92108,CA,San Diego,1454
32,M2106786209,condo,299000,0.0,1,1,San Diego,3940 Dove St Unit 209,92103,CA,San Diego,597
33,M1621899435,condo,315000,1.0,1,3,San Ysidro,1580 Monterey Pine Dr Unit D,92173,CA,San Diego,978
34,M1389528613,condo,289000,0.0,1,1,San Diego,6255 Rancho Mission Rd Unit 301,92108,CA,San Diego,675
35,M2962731440,condo,340000,0.0,2,2,San Diego,3259 Bramson Pl Unit 105,92104,CA,San Diego,956
36,M1249765248,condo,319900,0.0,1,0,San Diego,840 Turquoise St Unit 216,92109,CA,San Diego,460
37,M2478380847,condo,719000,1.0,2,2,San Diego,3740 Park Blvd Apt 115,92103,CA,San Diego,1318
38,M2369201604,condo,290000,0.0,2,2,San Diego,4080 Van Dyke Ave Apt 4,92105,CA,San Diego,780
39,M2002504729,condo,425000,1.0,2,3,San Diego,4114 Collwood Ln,92115,CA,San Diego,2099
40,M2969604575,condo,715000,0.0,2,2,San Diego,2909 1st Ave Unit 2C,92103,CA,San Diego,1233
41,M1367307808,condo,449500,0.0,1,1,San Diego,12360 Carmel Country Rd Unit 305B,92130,CA,San Diego,800
42,M1537253317,condo,420000,1.0,1,2,San Diego,7962 Mission Center Ct Unit I,92108,CA,San Diego,1026
43,M9337165371,condo,1600000,1.0,2,3,San Diego,2750 4th Ave Unit 401,92103,CA,San Diego,2093
44,M1276905891,condo,1269000,0.0,2,2,La Jolla,101 Coast Blvd Unit 4C,92037,CA,San Diego,1664
45,M1317135439,condo,424000,0.0,2,2,San Diego,13250 Wimberly Sq Unit 205,92128,CA,San Diego,907
46,M1396778688,condo,569900,1.0,2,2,San Diego,10435 Whitcomb Way Unit 138,92127,CA,San Diego,1484
47,M2481271664,condo,895000,1.0,2,3,San Diego,5027 Santa Monica Ave Apt B,92107,CA,San Diego,1371
48,M1879318045,condo,464900,1.0,2,3,San Diego,4464 Ocean View Blvd Unit 2,92113,CA,San Diego,1460
49,M1380900615,condo,245000,0.0,1,1,San Diego,10240 Black Mountain Rd Apt 109,92126,CA,San Diego,525
50,M2697530667,condo,799999,0.0,2,2,San Diego,1050 Island Ave Unit 705,92101,CA,San Diego,1274
51,M2660297252,condo,430000,1.0,1,2,San Diego,2676 Worden St Unit 61,92110,CA,San Diego,976
52,M2186572592,condo,425000,0.0,1,1,San Diego,1250 Cleveland Ave Unit F105,92103,CA,San Diego,732
53,M2362668722,condo,445000,0.0,2,2,San Diego,9916 Scripps Westview Way Unit 166,92131,CA,San Diego,1052
54,M2779664804,condo,325000,0.0,1,0,San Diego,1080 Park Blvd Unit 1303,92101,CA,San Diego,618
55,M1591065338,condo,375000,0.0,2,2,San Diego,4055 36th St Unit 7,92104,CA,San Diego,880
56,M1188828615,condo,749500,0.0,2,2,La Jolla,7509 Draper Ave Unit 209,92037,CA,San Diego,1000
57,M9545654897,condo,474900,1.0,2,3,San Diego,5140 Calle Sand Arch Unit 61,92154,CA,San Diego,1643
58,M9351820706,condo,855000,0.0,3,3,San Diego,2739 Via Alta Pl Unit 56,92108,CA,San Diego,2015
59,M2026092632,condo,549000,0.0,2,2,San Diego,7405 Charmant Dr Unit 2420,92122,CA,San Diego,1037
