,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
0,M1705067235,condo,319888.0,0.0,2.0,2,Sacramento,95835,CA,Sacramento,1651
1,M2497686502,condo,249000.0,1.0,2.0,2,Sacramento,95825,CA,Sacramento,1228
2,M1994154037,condo,320000.0,0.0,2.0,3,Sacramento,95834,CA,Sacramento,1508
3,M2461272844,condo,175000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,701
4,M2044058763,condo,279000.0,1.0,1.0,2,Roseville,95678,CA,Placer,990
5,M2771589434,condo,459000.0,0.0,2.0,2,Sacramento,95818,CA,Sacramento,1399
6,M1662348051,condo,130000.0,0.0,1.0,1,Sacramento,95821,CA,Sacramento,656
7,M9696864509,condo,324990000.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1492
8,M9086773696,condo,422260.78,2.0,2.0,3,Sacramento,95833,CA,Sacramento,1740
9,M2162710679,condo,139900.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,688
10,M1294333879,condo,319900.0,0.0,2.0,2,Sacramento,95831,CA,Sacramento,1090
11,M1960148027,condo,350000.0,0.0,2.0,4,Citrus Heights,95621,CA,Sacramento,1642
12,M2124701556,condo,333000.0,0.0,2.0,2,Sacramento,95835,CA,Sacramento,1651
13,M1069406002,condo,279900.0,0.0,2.0,3,Elk Grove,95758,CA,Sacramento,1168
14,M2785671408,condo,249900.0,0.0,1.0,2,Rancho Cordova,95670,CA,Sacramento,974
15,M1246017191,condo,119900.0,0.0,1.0,2,Sacramento,95842,CA,Sacramento,795
16,M2417065748,condo,349900.0,1.0,2.0,3,Citrus Heights,95610,CA,Sacramento,1812
17,M1977589066,condo,129000.0,0.0,1.0,1,Sacramento,95825,CA,Sacramento,484
18,M2918203651,condo,340000.0,0.0,2.0,2,Elk Grove,95757,CA,Sacramento,1519
19,M1435480822,condo,299888.0,0.0,2.0,3,Sacramento,95833,CA,Sacramento,1439
20,M2733450479,condo,280000.0,0.0,2.0,3,Rancho Cordova,95670,CA,Sacramento,1217
21,M1182508232,condo,200000.0,1.0,1.0,2,Fair Oaks,95628,CA,Sacramento,1160
22,M1169258004,condo,70000.0,0.0,2.0,2,Sacramento,95828,CA,Sacramento,1045
23,M1898956156,condo,334900.0,0.0,2.0,2,Elk Grove,95757,CA,Sacramento,1519
24,M9421731298,condo,439983.0,1.0,3.0,3,Sacramento,95833,CA,Sacramento,1656
25,M9618637857,condo,440416.0,1.0,3.0,3,Sacramento,95833,CA,Sacramento,1656
26,M1610700636,condo,255000.0,0.0,2.0,3,Rancho Cordova,95670,CA,Sacramento,1217
27,M1473024073,condo,350000.0,1.0,2.0,3,Sacramento,95831,CA,Sacramento,1414
28,M1265052295,condo,360000.0,1.0,2.0,3,Citrus Heights,95610,CA,Sacramento,1630
29,M1264139812,condo,247000.0,0.0,2.0,2,Sacramento,95825,CA,Sacramento,1002
30,M2464422320,condo,245000.0,1.0,1.0,3,Sacramento,95841,CA,Sacramento,1105
31,M2972318844,condo,395000.0,1.0,2.0,3,Sacramento,95831,CA,Sacramento,1485
32,M9640230657,condo,306760.0,2.0,2.0,3,Sacramento,95835,CA,Sacramento,1306
33,M1832944844,condo,289888.0,0.0,2.0,2,Elk Grove,95624,CA,Sacramento,1309
34,M1871939541,condo,150000.0,0.0,1.0,2,Citrus Heights,95621,CA,Sacramento,840
35,M1724700792,condo,310000.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1429
36,M1907304920,condo,179000.0,0.0,1.0,2,Citrus Heights,95621,CA,Sacramento,795
37,M2236873544,condo,850000.0,0.0,3.0,5,Sacramento,95821,CA,Sacramento,2154
38,M1458577878,condo,235000.0,0.0,1.0,2,Elk Grove,95624,CA,Sacramento,924
39,M2025668280,condo,410000.0,0.0,2.0,3,Roseville,95747,CA,Placer,1259
40,M2729958824,condo,225000.0,1.0,1.0,3,Rancho Cordova,95670,CA,Sacramento,1236
41,M2347663294,condo,265000.0,0.0,2.0,3,Antelope,95843,CA,Sacramento,1245
42,M1776156988,condo,895000.0,0.0,3.0,3,Sacramento,95811,CA,Sacramento,3123
43,M1175610913,condo,309935.0,1.0,2.0,3,Sacramento,95835,CA,Sacramento,1306
44,M2499812587,condo,185000.0,1.0,2.0,3,Sacramento,95823,CA,Sacramento,1344
45,M1817307669,condo,290000.0,0.0,2.0,3,Sacramento,95842,CA,Sacramento,1085
46,M9292069290,condo,399000.0,1.0,3.0,4,Sacramento,95834,CA,Sacramento,2025
47,M9217286854,condo,262793.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1263
48,M2228450155,condo,190000.0,0.0,1.0,2,Sacramento,95841,CA,Sacramento,924
49,M2795790074,condo,215000.0,0.0,1.0,2,Sacramento,95831,CA,Sacramento,932
50,M2256138688,condo,356625.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1324
51,M2256026890,condo,359289.0,1.0,2.0,3,Sacramento,95834,CA,Sacramento,1263
52,M9970687022,condo,408148.0,1.0,3.0,4,Sacramento,95834,CA,Sacramento,2025
53,M2604335332,condo,142000.0,0.0,1.0,2,Sacramento,95826,CA,Sacramento,840
54,M1115110589,condo,239000.0,0.0,2.0,2,Sacramento,95828,CA,Sacramento,900
55,M1209367530,condo,325000.0,0.0,2.0,2,Sacramento,95831,CA,Sacramento,1180
56,M1457124506,condo,115000.0,0.0,1.0,2,Sacramento,95823,CA,Sacramento,840
57,M1961792342,condo,288000.0,1.0,2.0,2,Sacramento,95838,CA,Sacramento,1181
58,M1539318259,condo,229900.0,1.0,2.0,3,Sacramento,95825,CA,Sacramento,1380
59,M1574831205,condo,339900.0,0.0,2.0,2,Rancho Cordova,95670,CA,Sacramento,1311
