,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M2278071853,single_family,829000,0.0,2,3,San Diego,3910 Mount Blackburn Ave,92111,CA,San Diego,1352.0,6500.0
1,M2739002954,single_family,699000,0.0,2,3,San Diego,8546 Boothbay Pl,92129,CA,San Diego,1614.0,5718.0
2,M1281042411,single_family,2395000,1.0,2,4,La Jolla,1321 Virginia Way,92037,CA,San Diego,2586.0,7700.0
3,M1811103700,single_family,699999,0.0,2,3,San Diego,4127 Seri St,92117,CA,San Diego,1374.0,6300.0
4,M1479304073,single_family,1450000,1.0,5,5,San Diego,15066 Almond Orchard Ln,92131,CA,San Diego,5390.0,23958.0
5,M2112669184,single_family,839000,0.0,2,4,San Diego,5290 Cobb Pl,92117,CA,San Diego,1534.0,15682.0
6,M2563475290,single_family,1550000,0.0,3,4,La Jolla,2692 Palomino Cir,92037,CA,San Diego,2473.0,11100.0
7,M1209130483,single_family,1350000,0.0,4,5,San Diego,16794 Santanella St,92127,CA,San Diego,3975.0,10315.0
8,M2052750592,single_family,920000,0.0,2,2,San Diego,4533 Rhode Island St,92116,CA,San Diego,1531.0,10003.0
9,M2524649252,single_family,1239000,0.0,3,3,San Diego,13381 Grandvia Pt,92130,CA,San Diego,2205.0,7239.0
10,M1332714190,single_family,2398000,1.0,5,5,San Diego,16382 Nicole Ridge Rd,92127,CA,San Diego,5042.0,10890.0
11,M1647993849,single_family,670000,0.0,2,3,San Diego,10390 Rancho Carmel Dr,92128,CA,San Diego,1322.0,3999.0
12,M2504477004,single_family,1449000,1.0,3,4,Point Loma,2758 Laning Rd,92106,CA,San Diego,3189.0,3999.0
13,M2145468257,single_family,729000,0.0,2,3,San Diego,4247 Hamilton St,92104,CA,San Diego,958.0,3999.0
14,M1018721144,single_family,599000,0.0,1,3,San Diego,7764 Batavia Rd,92126,CA,San Diego,1006.0,7499.0
15,M1976739442,single_family,1795000,0.0,2,4,San Diego,5361 Van Nuys Ct,92109,CA,San Diego,2514.0,7300.0
16,M2112631918,single_family,6975000,1.0,5,6,La Jolla,6121 Avenida Cresta,92037,CA,San Diego,8162.0,17424.0
17,M2611595770,single_family,1299000,0.0,3,3,San Diego,5522 Mill Creek Rd,92130,CA,San Diego,2769.0,5401.0
18,M1776446373,single_family,760000,0.0,2,4,San Diego,4635 Bannock Ave,92117,CA,San Diego,1723.0,5300.0
19,M2511371174,single_family,590000,1.0,2,5,San Diego,3675 Spa St,92105,CA,San Diego,1800.0,10019.0
20,M2407612485,single_family,1324999,0.0,3,4,San Diego,15878 Sarah Ridge Rd,92127,CA,San Diego,2775.0,4800.0
21,M1856657203,single_family,989000,0.0,2,3,San Diego,4827 Sussex Dr,92116,CA,San Diego,1456.0,7499.0
22,M2502009198,single_family,1295000,0.0,3,4,San Diego,5425 Bragg St,92122,CA,San Diego,2250.0,8900.0
23,M2457261025,single_family,725000,0.0,2,3,San Diego,4350 W Overlook Dr,92115,CA,San Diego,1224.0,7200.0
25,M2417539840,single_family,1059000,0.0,3,4,San Diego,15712 Potomac Ridge Rd,92127,CA,San Diego,2771.0,4815.0
26,M2748494397,single_family,899000,0.0,3,4,San Diego,9655 Graceland Way,92129,CA,San Diego,2292.0,5769.0
27,M2868751562,single_family,485000,0.0,1,2,San Diego,6212 Streamview Dr,92115,CA,San Diego,780.0,6400.0
28,M2172451949,single_family,538000,0.0,3,4,San Diego,5051 Pelusa St,92113,CA,San Diego,1414.0,5000.0
29,M2776865120,single_family,899900,0.0,1,2,San Diego,3021 James St,92106,CA,San Diego,1277.0,4169.0
30,M2761437020,single_family,999999,0.0,2,3,San Diego,3326 Wisteria Dr,92106,CA,San Diego,1955.0,13939.0
31,M1581485483,single_family,799999,0.0,3,4,San Diego,6952 Howe Ct,92111,CA,San Diego,1601.0,3999.0
32,M1993300042,single_family,659999,1.0,2,3,San Diego,4567 54th St,92115,CA,San Diego,2205.0,4073.0
33,M2543543085,single_family,1625000,0.0,3,4,San Diego,13404 Pantera Rd,92130,CA,San Diego,1532.0,7499.0
34,M1977316101,single_family,545000,0.0,2,3,San Diego,2731 Alta View Dr,92139,CA,San Diego,1770.0,7499.0
35,M1429960816,single_family,1585000,1.0,3,3,San Diego,14208 Caminito Lazanja,92127,CA,San Diego,1762.0,6000.0
36,M1589944883,single_family,735000,0.0,2,3,San Diego,16431 Gabarda Rd,92128,CA,San Diego,1865.0,5214.0
37,M1763856782,single_family,565000,0.0,2,4,San Diego,5767 Plumas St,92139,CA,San Diego,1396.0,6000.0
38,M1905292407,single_family,609000,1.0,2,4,San Diego,4825 Mahogany Vista Ln,92102,CA,San Diego,1776.0,6000.0
39,M1566306872,single_family,725000,0.0,2,3,San Diego,5067 Chaucer Ave,92120,CA,San Diego,1398.0,4918.0
40,M1006329377,single_family,770444,0.0,2,3,San Diego,5044 Brillo St,92117,CA,San Diego,2040.0,4288.0
41,M1438685571,single_family,809000,0.0,2,3,San Diego,10888 Pointed Oak Ln,92131,CA,San Diego,1364.0,5000.0
42,M1905768671,single_family,1798000,0.0,2,3,La Jolla,7505 Caminito Avola,92037,CA,San Diego,3164.0,7200.0
43,M2809860001,single_family,1095000,0.0,2,3,San Diego,3424 Ingelow St,92106,CA,San Diego,2532.0,3800.0
44,M2387249723,single_family,1995000,1.0,4,4,Del Mar,12780 Via Esperia,92014,CA,San Diego,1366.0,6400.0
45,M1150171972,single_family,4595000,1.0,7,7,La Jolla,1329 W Muirlands Dr,92037,CA,San Diego,2869.0,10889.0
46,M1060757096,single_family,1650000,1.0,4,5,San Diego,2420 Upas St,92104,CA,San Diego,4252.0,7843.0
47,M2052068433,single_family,659900,0.0,2,2,San Diego,4575 Alice St,92115,CA,San Diego,1526.0,15246.0
48,M1158058503,single_family,1250000,0.0,4,4,San Diego,12130 Dormouse Rd,92129,CA,San Diego,1018.0,7100.0
49,M1606687774,single_family,1895000,1.0,5,5,San Diego,15916 Taburno Way,92127,CA,San Diego,1859.0,5800.0
50,M2902402708,single_family,529900,0.0,2,4,San Diego,2322 Holstrom Pl,92114,CA,San Diego,2004.0,6400.0
