,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size
0,M2216724467,condo,1300000,0.0,1.0,1,San Francisco,94107,CA,San Francisco,881
1,M1241792261,condo,400000,0.0,1.0,1,Oakland,94607,CA,Alameda,668
2,M1671813815,condo,2695000,0.0,3.0,3,San Francisco,94123,CA,San Francisco,2030
3,M1764025961,condo,1795000,0.0,2.0,2,San Francisco,94105,CA,San Francisco,1238
4,M2455581307,condo,1550000,0.0,1.0,2,San Francisco,94127,CA,San Francisco,1293
5,M1251903041,condo,799000,0.0,2.0,2,Oakland,94612,CA,Alameda,1062
6,M1894370734,condo,1200000,0.0,1.0,2,San Francisco,94110,CA,San Francisco,1216
7,M9706118596,condo,1499000,0.0,2.0,2,San Francisco,94110,CA,San Francisco,1144
8,M9967892468,condo,1149000,0.0,2.0,2,San Francisco,94110,CA,San Francisco,1038
9,M1714705296,condo,949000,0.0,1.0,1,San Francisco,94107,CA,San Francisco,868
10,M9976441698,condo,1100000,0.0,1.0,2,San Francisco,94117,CA,San Francisco,1017
11,M9916059439,condo,795000,0.0,1.0,1,San Francisco,94110,CA,San Francisco,538
12,M2308358090,condo,799888,0.0,2.0,2,San Francisco,94124,CA,San Francisco,1219
13,M1342496821,condo,1850000,1.0,2.0,2,San Francisco,94103,CA,San Francisco,1227
14,M1161262148,condo,749000,1.0,2.0,2,Oakland,94607,CA,Alameda,1459
15,M1997804880,condo,1200000,0.0,1.0,1,San Francisco,94133,CA,San Francisco,1028
16,M2651192193,condo,649000,0.0,2.0,2,Oakland,94612,CA,Alameda,1648
17,M1262072057,condo,1178000,1.0,1.0,1,San Francisco,94158,CA,San Francisco,925
18,M1112677143,condo,799000,0.0,2.0,2,San Francisco,94124,CA,San Francisco,1051
19,M1618991375,condo,1199000,0.0,2.0,2,Oakland,94607,CA,Alameda,2411
20,M9863089927,condo,1430000,0.0,2.0,2,San Francisco,94123,CA,San Francisco,968
21,M1095219044,condo,1455000,0.0,1.0,2,San Francisco,94133,CA,San Francisco,1135
22,M1229658118,condo,728000,0.0,1.0,1,San Francisco,94103,CA,San Francisco,563
23,M1411315583,condo,1089000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,920
24,M2044755260,condo,715000,0.0,1.0,1,San Francisco,94109,CA,San Francisco,632
25,M2877362319,condo,2688000,0.0,2.0,3,San Francisco,94133,CA,San Francisco,2700
26,M2096325147,condo,196842,0.0,1.0,1,San Francisco,94124,CA,San Francisco,530
27,M2095281701,condo,240000,0.0,1.0,1,San Francisco,94124,CA,San Francisco,506
28,M1685751430,condo,1079000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,759
29,M2730943541,condo,3300000,0.0,2.0,3,San Francisco,94133,CA,San Francisco,1515
30,M1787764030,condo,1299000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,819
31,M2062763392,condo,695000,0.0,2.0,2,Alameda,94502,CA,Alameda,1274
32,M1888060653,condo,859000,2.0,1.0,2,Alameda,94501,CA,Alameda,1550
33,M1677581050,condo,1850000,0.0,2.0,2,San Francisco,94102,CA,San Francisco,1187
34,M2997625048,condo,595000,0.0,1.0,2,Oakland,94611,CA,Alameda,1027
35,M2011104113,condo,1888888,0.0,2.0,2,San Francisco,94104,CA,San Francisco,1382
36,M2502845558,condo,1495000,0.0,2.0,2,San Francisco,94118,CA,San Francisco,1515
37,M2474291803,condo,799000,1.0,1.0,2,Oakland,94607,CA,Alameda,1924
38,M2732677647,condo,799000,0.0,1.0,1,San Francisco,94105,CA,San Francisco,832
39,M1474773155,condo,775000,0.0,1.0,1,San Francisco,94115,CA,San Francisco,740
40,M1486660991,condo,999000,0.0,1.0,1,San Francisco,94158,CA,San Francisco,682
