,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,lot_size,building_size
0,M1963882417,single_family,1398000,0.0,2,3,San Jose,95129,CA,Santa Clara,5558.0,2943.0
1,M1108442798,single_family,3698000,1.0,3,4,Saratoga,95070,CA,Santa Clara,7224.0,1382.0
2,M2522092026,single_family,818000,0.0,2,5,Newark,94560,CA,Alameda,5000.0,2050.0
3,M2372954641,single_family,969696,0.0,3,5,Morgan Hill,95037,CA,Santa Clara,5009.0,969.0
4,M2959401747,single_family,1748000,0.0,2,3,Sunnyvale,94086,CA,Santa Clara,6512.0,2112.0
5,M2381791011,single_family,7500000,1.0,3,5,Palo Alto,94301,CA,Santa Clara,10999.0,1800.0
6,M2598941795,single_family,1200000,0.0,3,4,Morgan Hill,95037,CA,Santa Clara,5169.0,1300.0
7,M2671667431,single_family,1398000,0.0,2,2,Redwood City,94063,CA,San Mateo,7500.0,2015.0
8,M1649140564,single_family,850000,0.0,2,3,San Jose,95127,CA,Santa Clara,6609.0,3264.0
9,M2321845763,single_family,825000,0.0,2,3,San Jose,95122,CA,Santa Clara,6012.0,1280.0
10,M1219790285,single_family,1998000,0.0,2,3,Mountain View,94041,CA,Santa Clara,5925.0,2885.0
11,M1126336778,single_family,1075000,1.0,2,4,Newark,94560,CA,Alameda,4180.0,2597.0
12,M2614697893,single_family,998888,0.0,2,4,Newark,94560,CA,Alameda,7000.0,1140.0
13,M2827841169,single_family,23800000,4.0,6,6,Monte Sereno,95030,CA,Santa Clara,243936.0,2740.0
14,M1140569098,single_family,1398888,1.0,2,4,San Jose,95148,CA,Santa Clara,9809.0,1450.0
15,M1087153704,single_family,1699888,0.0,3,5,San Jose,95120,CA,Santa Clara,10067.0,1954.0
16,M2954306891,single_family,1150000,1.0,2,4,San Jose,95120,CA,Santa Clara,3044.0,3398.0
17,M2068722977,single_family,5888000,0.0,4,4,Los Altos Hills,94022,CA,Santa Clara,53239.0,1607.0
18,M1120437265,single_family,637500,0.0,1,3,San Jose,95122,CA,Santa Clara,5829.0,3060.0
19,M1818399326,single_family,1495000,0.0,2,3,San Jose,95128,CA,Santa Clara,7663.0,740.0
20,M2947003561,single_family,2398000,0.0,2,4,Palo Alto,94306,CA,Santa Clara,8716.0,1666.0
21,M1321644313,single_family,1588888,0.0,3,3,San Jose,95126,CA,Santa Clara,6443.0,5574.0
22,M1084102879,single_family,1298888,0.0,2,3,Fremont,94539,CA,Alameda,8832.0,960.0
23,M1028427561,single_family,2099888,0.0,3,5,Fremont,94539,CA,Alameda,7841.0,2020.0
24,P417000483540,single_family,1835000,0.0,3,4,Sunnyvale,94085,CA,Santa Clara,,1321.0
25,P417000483533,single_family,1460000,1.0,3,3,Sunnyvale,94085,CA,Santa Clara,,1530.0
26,P417000483541,single_family,1910000,0.0,3,4,Sunnyvale,94085,CA,Santa Clara,,1170.0
27,P417000483532,single_family,1280000,1.0,2,2,Sunnyvale,94085,CA,Santa Clara,,1230.0
28,P417000483539,single_family,1785000,0.0,3,4,Sunnyvale,94085,CA,Santa Clara,,1966.0
29,P417000483538,single_family,1760000,1.0,3,4,Sunnyvale,94085,CA,Santa Clara,,3233.0
30,P417000483534,single_family,1477000,1.0,3,3,Sunnyvale,94085,CA,Santa Clara,,1143.0
31,P417000483536,single_family,1548000,1.0,3,3,Sunnyvale,94085,CA,Santa Clara,,1417.0
