,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M1370128465,single_family,359900,1.0,2,4,Bakersfield,10907 Thunder Falls Ave,93312,CA,Kern,2602.0,7620.0
1,M1114412716,single_family,285000,1.0,2,4,Bakersfield,5623 Rosado Ct,93306,CA,Kern,2148.0,6898.0
2,M9930763529,single_family,349900,0.0,4,5,Bakersfield,431 Butler Rd,93304,CA,Kern,1060.0,6271.0
3,M1475562927,single_family,149999,0.0,1,3,Bakersfield,31 Northrup St,93307,CA,Kern,2051.0,6133.0
4,M1580313456,single_family,299000,0.0,3,5,Bakersfield,5308 Pine Grove Ct,93313,CA,Kern,1621.0,9142.0
5,M1196253984,single_family,269000,0.0,2,3,Bakersfield,1409 Longway Ln,93309,CA,Kern,1832.0,6765.0
6,M9213456180,single_family,249900,0.0,2,4,Bakersfield,10604 High Plateau Way,93311,CA,Kern,4192.0,88862.0
7,M2973461004,single_family,850000,1.0,2,4,Bakersfield,9042 Laramie Ave,93314,CA,Kern,1657.0,13068.0
8,M1518372568,single_family,259900,0.0,2,3,Bakersfield,6200 Carter Ave,93308,CA,Kern,2624.0,8042.0
9,M9052962790,single_family,359500,1.0,2,4,Bakersfield,10314 Grizzly St,93311,CA,Kern,1540.0,6969.0
10,M1974008542,single_family,260000,0.0,2,4,Bakersfield,7602 Granite Hills St,93313,CA,Kern,1074.0,8100.0
11,M1323848200,single_family,184900,0.0,2,3,Bakersfield,1021 Chelsea St,93306,CA,Kern,2756.0,9148.0
12,M2067620590,single_family,490000,0.0,3,4,Bakersfield,12109 Parkerhill Dr,93311,CA,Kern,2253.0,7405.0
13,M1389245066,single_family,344950,0.0,3,4,Bakersfield,5507 Millington Ave,93313,CA,Kern,1211.0,7325.0
14,M1942204430,single_family,189000,0.0,2,3,Bakersfield,,93306,CA,Kern,2747.0,145926.0
15,M1842744778,single_family,575000,1.0,3,3,Bakersfield,3900 View St,93306,CA,Kern,1522.0,7818.0
16,M1954621509,single_family,245000,1.0,1,3,Bakersfield,4200 McKelvey Ct,93308,CA,Kern,800.0,7069.0
17,M2113610799,single_family,119000,0.0,1,2,Bakersfield,503 Decatur St,93308,CA,Kern,1960.0,7200.0
18,M9878870442,single_family,314900,0.0,2,3,Bakersfield,10308 Blythe Ct,93311,CA,Kern,1673.0,6534.0
19,M2065958144,single_family,309900,0.0,2,4,Bakersfield,,93314,CA,Kern,1287.0,4864.0
20,M1751134942,single_family,240000,0.0,2,3,Bakersfield,3000 Chuckwagon St,93312,CA,Kern,732.0,6346.0
21,M1750766560,single_family,119900,0.0,1,3,Bakersfield,120 E Belle Ave,93308,CA,Kern,1266.0,6000.0
22,M2779817201,single_family,215000,0.0,2,3,Bakersfield,4600 Randy Ave,93309,CA,Kern,2724.0,10019.0
23,M2466458496,single_family,439000,1.0,2,4,Bakersfield,10620 Barrichello St,93314,CA,Kern,1543.0,7042.0
24,M1124270002,single_family,236000,0.0,2,4,Bakersfield,4405 Hahn Ave,93309,CA,Kern,1665.0,7925.0
25,M2600800356,single_family,247900,0.0,2,3,Bakersfield,4205 Adidas Ave,93313,CA,Kern,1514.0,5020.0
26,M2531183020,single_family,295000,0.0,2,3,Bakersfield,12300 Marla Ave,93312,CA,Kern,1528.0,9325.0
27,M1887452537,single_family,315000,0.0,2,3,Bakersfield,8228 Norfolk Ct,93311,CA,Kern,1190.0,6969.0
28,M1976399341,single_family,285000,0.0,2,4,Bakersfield,8600 Windjammer Dr,93312,CA,Kern,1869.0,12197.0
29,M1031438796,single_family,255000,0.0,1,3,Bakersfield,2925 Beech St,93301,CA,Kern,2289.0,4250.0
30,M1457719572,single_family,270000,0.0,2,4,Bakersfield,6808 Segura Way,93309,CA,Kern,1060.0,7389.0
31,M1208695551,single_family,290000,1.0,2,3,Bakersfield,11108 Baltra Way,93306,CA,Kern,1780.0,1452.0
32,M1417815757,single_family,215000,0.0,2,2,Bakersfield,8317 S Stuart Ct,93311,CA,Kern,2572.0,7487.0
33,M1710382662,single_family,219900,1.0,2,3,Bakersfield,7330 Stockdale Hwy Apt 9,93309,CA,Kern,1813.0,9058.0
