,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M2772847216,single_family,329900,0.0,2,3,Clovis,2625 Robinwood Ave,93611,CA,Fresno,1750.0,6370.0
1,M2609756930,single_family,2200000,0.0,7,7,Fresno,6490 N Sequoia Ave,93711,CA,Fresno,9804.0,46609.0
2,M2895165412,single_family,227000,0.0,2,3,Fresno,3427 E Hedges Ave,93703,CA,Fresno,1393.0,7620.0
3,M1556071486,single_family,355000,0.0,2,3,Clovis,2820 Lincoln Ave,93611,CA,Fresno,1646.0,8364.0
4,M2575444014,single_family,305000,0.0,2,3,Clovis,3072 Maine Ave,93619,CA,Fresno,1379.0,4050.0
5,M1174105051,single_family,500000,0.0,2,4,Clovis,1999 N Nicolette Ave,93619,CA,Fresno,2521.0,8750.0
6,M2061992576,single_family,330000,0.0,2,3,Fresno,2325 E LA Quinta Dr,93730,CA,Fresno,1458.0,7440.0
7,M1418949477,single_family,320000,0.0,2,3,Clovis,3100 Holland Ave,93619,CA,Fresno,1379.0,4380.0
8,M1043025325,single_family,419950,0.0,3,5,Clovis,4773 N Pinebury Way,93619,CA,Fresno,3100.0,8441.0
9,M2056265513,single_family,505000,1.0,3,5,Clovis,11050 E Mitchell Peak Way,93619,CA,Fresno,3304.0,12197.0
10,M2980839814,single_family,149500,0.0,1,3,Fresno,4740 E White Ave,93702,CA,Fresno,1286.0,7200.0
11,M2752722259,single_family,389000,1.0,2,4,Fresno,7091 W San Bruno Ave,93723,CA,Fresno,2697.0,5000.0
12,M2137204511,single_family,635900,1.0,3,4,Clovis,1163 Lester Ave,93619,CA,Fresno,3772.0,8732.0
13,M1996490941,single_family,320000,0.0,3,3,Clovis,2935 Indianapolis Ave,93611,CA,Fresno,1890.0,4752.0
14,M2358785330,single_family,329000,0.0,2,3,Fresno,5661 W Beechwood Ave,93722,CA,Fresno,1981.0,6000.0
15,M2658787538,single_family,169900,0.0,1,3,Fresno,4685 E Harvard Ave,93703,CA,Fresno,1002.0,8100.0
16,M9090672822,single_family,288439,0.0,2,3,Fresno,5543 W Flint Way,93722,CA,Fresno,1440.0,5600.0
17,M1905978234,single_family,219000,0.0,2,3,Fresno,3820 N Lafayette Ave,93705,CA,Fresno,1109.0,7680.0
18,M1849221714,single_family,545000,1.0,2,4,Fresno,2845 E Richmond Ave,93720,CA,Fresno,2999.0,12632.0
19,M2022788437,single_family,275000,0.0,2,3,Clovis,610 W Casanova Ln,93619,CA,Fresno,1271.0,2814.0
20,M1438832831,single_family,435000,1.0,2,4,Clovis,3234 Carson Ave,93611,CA,Fresno,2674.0,9179.0
21,M2813598945,single_family,164900,0.0,2,3,Fresno,420 N San Pablo Ave,93701,CA,Fresno,1041.0,230868.0
22,M1048850184,single_family,229900,0.0,1,3,Fresno,5069 E Clay Ave,93727,CA,Fresno,1789.0,7700.0
23,M2482138747,single_family,320000,0.0,1,3,Madera,12159 Gaston Rd,93636,CA,Madera,864.0,6098.0
24,M1597714358,single_family,262500,0.0,2,3,Fresno,3663 E Santa Ana Ave,93726,CA,Fresno,1830.0,6300.0
25,M1149542761,single_family,159200,0.0,1,2,Fresno,3648 E Grant Ave,93702,CA,Fresno,1872.0,7475.0
26,M1131368353,single_family,314995,0.0,2,2,Fresno,5640 N El Adobe Dr,93711,CA,Fresno,3009.0,6325.0
27,M2145245914,single_family,290000,0.0,2,5,Fresno,6567 E Platt Ave,93727,CA,Fresno,1872.0,4410.0
28,M2628771334,single_family,300000,1.0,2,4,Kerman,751 Walnut Ave S,93630,CA,Fresno,1580.0,4500.0
29,M1094799091,single_family,320000,0.0,4,5,Fresno,232 N Van Ness Ave,93701,CA,Fresno,1271.0,3036.0
30,M1751977200,single_family,289000,1.0,2,3,Sanger,2588 Santa Cruz Ave,93657,CA,Fresno,1494.0,6600.0
31,M1304711265,single_family,349999,1.0,2,3,Clovis,3118 Wrenwood Ave,93619,CA,Fresno,998.0,6700.0
32,M2223050018,single_family,265000,1.0,1,2,Clovis,55 W Brittany Ln,93619,CA,Fresno,3147.0,14810.0
33,M2797480004,single_family,318000,0.0,2,4,Clovis,2691 Dennis Ave,93611,CA,Fresno,2207.0,6000.0
