,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M1841832878,single_family,519900,1.0,2,4,Corona,534 Wrightwood Rd,92879,CA,Riverside,1959.0,7405.0
1,M2323855249,single_family,469000,0.0,2,3,Redlands,614 Esther Way,92373,CA,San Bernardino,1326.0,8505.0
2,M2162371434,single_family,431800,1.0,2,3,Riverside,4565 Filson St,92507,CA,Riverside,1615.0,3049.0
3,M2669304755,single_family,509900,0.0,3,4,Ontario,3151 E Beringer Way,91761,CA,San Bernardino,2067.0,3201.0
4,M1242163973,single_family,499000,0.0,3,4,Riverside,10334 Wells Ave,92505,CA,Riverside,3243.0,11325.0
5,M1318186221,single_family,375000,1.0,2,4,Perris,3259 Norwood Dr,92571,CA,Riverside,2654.0,6970.0
6,M2907026192,single_family,335000,0.0,2,3,Moreno Valley,24793 Otis Dr,92553,CA,Riverside,1490.0,7841.0
7,M1616936064,single_family,589000,1.0,2,3,Riverside,1420 Via Vallarta,92506,CA,Riverside,2461.0,13068.0
8,M1307118390,single_family,325000,0.0,2,4,Riverside,8586 Basswood Ave,92504,CA,Riverside,1488.0,6534.0
9,M9617729929,single_family,435990,1.0,2,3,Eastvale,13965 Blossom Way,92880,CA,Riverside,1498.0,2178.0
10,M2110970664,single_family,469000,0.0,2,3,Riverside,19175 Warren Rd,92508,CA,Riverside,1700.0,17860.0
11,M1186695041,single_family,425000,1.0,2,3,Moreno Valley,26588 Sage Brush Ct,92555,CA,Riverside,2520.0,6970.0
12,M1453876226,single_family,447000,1.0,2,4,Corona,998 Blackburn Dr,92880,CA,Riverside,2145.0,3704.0
13,M2435543570,single_family,416500,0.0,3,4,Moreno Valley,13669 Darwin Dr,92555,CA,Riverside,2661.0,9148.0
14,M1356551953,single_family,839000,0.0,3,3,Norco,3201 Cutting Horse Rd,92860,CA,Riverside,2660.0,40511.0
15,M1205479644,single_family,524900,0.0,2,4,Corona,406 E Monterey Rd,92879,CA,Riverside,1888.0,7841.0
16,M2246117820,single_family,585000,0.0,3,4,Eastvale,7426 Clementine Dr,92880,CA,Riverside,2590.0,6098.0
17,M2715988161,single_family,550000,0.0,3,4,Fontana,17099 Nile Lily Way,92337,CA,San Bernardino,2600.0,6207.0
18,M1295439629,single_family,439900,1.0,1,3,Corona,1031 Lorna St,92882,CA,Riverside,1025.0,6970.0
19,M2184993084,single_family,590000,0.0,3,4,Eastvale,6817 Gertrudis Ct,92880,CA,Riverside,2512.0,10000.0
20,M1521784740,single_family,274999,0.0,2,3,Perris,18519 Decker Rd,92570,CA,Riverside,1230.0,25265.0
21,M1825785778,single_family,469000,0.0,2,3,Riverside,5444 Tower Rd,92506,CA,Riverside,1350.0,7405.0
22,M1491908827,single_family,499000,0.0,2,4,Riverside,1590 Ransom Rd,92506,CA,Riverside,1847.0,16553.0
23,M1534045235,single_family,369900,0.0,2,3,Perris,21575 Mary St,92570,CA,Riverside,1509.0,19166.0
24,M1591357472,single_family,408000,1.0,2,3,Riverside,9213 Maywood Way,92503,CA,Riverside,1618.0,3485.0
25,M2731436163,single_family,949990,0.0,4,4,Corona,1580 Vandagriff Way,92883,CA,Riverside,3829.0,14810.0
26,M2891092755,single_family,453000,1.0,2,3,Riverside,17641 Morning Sun Ct,92503,CA,Riverside,1600.0,4792.0
27,M2407805268,single_family,360000,0.0,1,1,Riverside,4426 Jurupa Ave,92506,CA,Riverside,832.0,8712.0
28,M1602510995,single_family,649950,1.0,2,4,Corona,2975 S Buena Vista Ave,92882,CA,Riverside,3012.0,7405.0
29,M1591394372,single_family,410000,0.0,2,3,Riverside,3405 Pickwick St,92503,CA,Riverside,1107.0,9148.0
30,M2244508200,single_family,355000,0.0,2,4,Perris,3014 Poppy Ct,92571,CA,Riverside,1774.0,8276.0
31,M1224573105,single_family,389900,1.0,2,3,Fontana,15527 Villa Del Rio Rd,92337,CA,San Bernardino,1398.0,3600.0
32,M2766839511,single_family,499000,1.0,3,4,Loma Linda,26388 Keller Dr,92354,CA,San Bernardino,2215.0,3071.0
33,M2128671987,single_family,504900,1.0,2,4,Riverside,19118 Bergamont Dr,92508,CA,Riverside,1941.0,10890.0
34,M1328061850,single_family,369000,1.0,1,3,Riverside,4156 Goodman St,92503,CA,Riverside,1057.0,6098.0
35,M2917044372,single_family,433000,0.0,2,3,Riverside,3543 Lillian St,92504,CA,Riverside,1580.0,9148.0
36,M2098191594,single_family,339000,0.0,2,3,Moreno Valley,24392 Delphinium Ave,92553,CA,Riverside,1106.0,5227.0
37,M2145841466,single_family,419000,0.0,3,5,Moreno Valley,27679 Gladstone Dr,92555,CA,Riverside,2841.0,7405.0
38,M1586934381,single_family,825000,0.0,3,5,Norco,3398 Deputy Evans Dr,92860,CA,Riverside,3582.0,24394.0
39,M2549814402,single_family,495000,0.0,2,3,Lake Mathews,20740 Knob Pl,92570,CA,Riverside,1631.0,90169.0
40,M1240188757,single_family,380000,0.0,2,3,Riverside,8592 Holly Ln,92504,CA,Riverside,1119.0,6970.0
41,M1554835260,single_family,280000,0.0,1,2,Colton,440 Walters St,92324,CA,San Bernardino,1015.0,7405.0
42,M2672816836,single_family,435000,1.0,2,4,Riverside,5531 Applecross Dr,92507,CA,Riverside,1656.0,9583.0
43,M2491807440,single_family,688000,0.0,4,6,Eastvale,8018 Tisdale St,92880,CA,Riverside,3585.0,6970.0
44,M2502713399,single_family,350000,0.0,2,3,Moreno Valley,25245 Wendy Way,92551,CA,Riverside,1227.0,3920.0
45,M2839304467,single_family,510000,0.0,2,3,Corona,3463 Braemar Ln,92882,CA,Riverside,1607.0,7405.0
46,M2813121031,single_family,375000,0.0,3,4,Jurupa Valley,4354 Riverbend Ln,92509,CA,Riverside,1580.0,7405.0
47,M2102545412,single_family,508880,0.0,3,4,Corona,1852 Majestic Dr,92880,CA,Riverside,1753.0,4792.0
48,M1329826431,single_family,598000,1.0,2,5,Eastvale,13968 Agate Ct,92880,CA,Riverside,2354.0,13068.0
49,M2454103019,single_family,620000,0.0,3,4,Corona,2770 Peachwood Cir,92882,CA,Riverside,2563.0,7405.0
50,M2756817632,single_family,350000,1.0,2,4,Perris,1080 Harrier St,92571,CA,Riverside,2327.0,5663.0
