,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size,lot_size
0,M2371525237,single_family,2250000,1.0,3.0,4,Santa Barbara,5143 Cathedral Oaks Rd,93111,CA,Santa Barbara,4083.0,18295.0
1,M1602400115,single_family,6495000,0.0,4.0,5,Santa Barbara,2321 Edgewater Way,93109,CA,Santa Barbara,3650.0,14375.0
2,M1541693894,single_family,2200000,0.0,1.0,3,Santa Barbara,8 Ocean View Ave,93103,CA,Santa Barbara,1620.0,19602.0
3,M2350624759,single_family,2150000,0.0,3.0,3,Santa Barbara,3803 Whiterose Ln,93110,CA,Santa Barbara,2842.0,10454.0
4,M1113880874,single_family,1895000,0.0,2.0,3,Santa Barbara,1221 Diana Ln,93103,CA,Santa Barbara,1426.0,8712.0
5,M2095692545,single_family,4125000,1.0,3.0,4,Santa Barbara,2749 Sycamore Canyon Rd,93108,CA,Santa Barbara,4067.0,36590.0
6,M2169863143,single_family,6495000,2.0,5.0,5,Montecito,705 Oak Grove Dr,93108,CA,Santa Barbara,6707.0,42253.0
7,M1959809546,single_family,1495000,1.0,2.0,3,Santa Barbara,3719 Hitchcock Ranch Rd,93105,CA,Santa Barbara,1993.0,7405.0
8,M2263478339,single_family,3975000,0.0,3.0,4,Santa Barbara,970 Via Fruteria,93110,CA,Santa Barbara,3283.0,97139.0
9,M1178603593,single_family,2950000,0.0,3.0,4,Santa Barbara,1000 E Mountain Dr,93108,CA,Santa Barbara,3186.0,15246.0
10,M1474726996,single_family,2300000,3.0,3.0,7,Santa Barbara,717 Santecito Dr,93108,CA,Santa Barbara,5219.0,27443.0
11,M1692583696,single_family,3950000,0.0,3.0,3,Santa Barbara,1051 Arbolado Rd,93103,CA,Santa Barbara,2784.0,43560.0
12,M1362008892,single_family,3995000,1.0,4.0,5,Santa Barbara,1218 Harbor Hills Dr,93109,CA,Santa Barbara,9000.0,510959.0
13,M2174040077,single_family,2990000,0.0,3.0,3,Santa Barbara,1138 Palomino Rd,93105,CA,Santa Barbara,4176.0,19602.0
14,M2192219559,single_family,1695000,0.0,2.0,2,Montecito,590 Santa Rosa Ln,93108,CA,Santa Barbara,4596.0,47916.0
