property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
M1420126120,single_family,499700,0.0,3.0,4,Dixon,95620,CA,Solano,2169.0,4783.0
M2415397004,single_family,340000,0.0,2.0,3,Sacramento,95826,CA,Sacramento,1270.0,5920.0
M1186346624,single_family,375900,0.0,3.0,4,Citrus Heights,95610,CA,Sacramento,1736.0,6098.0
M2897618299,single_family,395000,0.0,2.0,3,Sacramento,95826,CA,Sacramento,1516.0,6739.0
M2738139661,single_family,1275000,0.0,3.0,3,Sacramento,95831,CA,Sacramento,3375.0,24202.0
M1231037447,single_family,474999,0.0,2.0,3,West Sacramento,95691,CA,Yolo,2182.0,3920.0
M2055327904,single_family,649900,0.0,2.0,2,Sacramento,95819,CA,Sacramento,1611.0,5306.0
M1123778177,single_family,660000,0.0,3.0,4,Auburn,95603,CA,Placer,2620.0,8973.0
M1008706754,single_family,454950,0.0,2.0,3,Elk Grove,95757,CA,Sacramento,1639.0,6316.0
M1881725963,single_family,519900,0.0,3.0,4,Elk Grove,95624,CA,Sacramento,2189.0,7279.0
M2407936662,single_family,359900,0.0,2.0,3,Roseville,95678,CA,Placer,1189.0,8307.0
M1095711355,single_family,554800,0.0,3.0,4,Roseville,95747,CA,Placer,2186.0,7514.0
M1200068714,single_family,435000,0.0,3.0,5,Sacramento,95828,CA,Sacramento,2742.0,8795.0
M1710778861,single_family,524500,1.0,2.0,4,Carmichael,95608,CA,Sacramento,2021.0,9518.0
M1366453994,single_family,649900,0.0,3.0,4,Rocklin,95677,CA,Placer,2508.0,12985.0
M2996477691,single_family,675000,1.0,3.0,4,Loomis,95650,CA,Placer,3015.0,10594.0
M2224550959,single_family,440000,1.0,2.0,4,Rocklin,95677,CA,Placer,1694.0,4870.0
M1300966727,single_family,1200000,1.0,4.0,6,Lincoln,95648,CA,Placer,5242.0,17633.0
M1707054192,single_family,345000,0.0,2.0,3,Sacramento,95824,CA,Sacramento,1661.0,4792.0
M1052498731,single_family,425000,0.0,2.0,3,Orangevale,95662,CA,Sacramento,1644.0,8577.0
M2523844779,single_family,399000,1.0,2.0,3,Lincoln,95648,CA,Placer,1542.0,4526.0
M2695006519,single_family,330000,0.0,2.0,3,Sacramento,95842,CA,Sacramento,1236.0,5663.0
M1636503495,single_family,560000,0.0,3.0,4,Roseville,95747,CA,Placer,2917.0,5018.0
M2979751611,single_family,574500,0.0,2.0,2,Sacramento,95835,CA,Sacramento,2089.0,7183.0
M2220364731,single_family,329900,1.0,1.0,3,Sacramento,95821,CA,Sacramento,1075.0,10585.0
M2825223901,single_family,815000,1.0,3.0,4,Rocklin,95765,CA,Placer,3555.0,14845.0
M1572157778,single_family,899000,0.0,3.0,4,Sacramento,95829,CA,Sacramento,3238.0,34412.0
M2953908613,single_family,549900,0.0,3.0,4,Roseville,95678,CA,Placer,2338.0,6368.0
M2161286840,single_family,515000,0.0,2.0,3,Sacramento,95864,CA,Sacramento,1710.0,5227.0
M2895423155,single_family,889000,0.0,3.0,3,Davis,95618,CA,Yolo,2777.0,5837.0
M2076563682,single_family,330000,0.0,2.0,4,Sacramento,95823,CA,Sacramento,1591.0,6090.0
M2402832084,single_family,649500,0.0,1.0,2,Sacramento,95819,CA,Sacramento,1345.0,5001.0
M1182069264,single_family,325000,0.0,2.0,3,Sacramento,95828,CA,Sacramento,1130.0,6098.0
M2750791220,single_family,525000,0.0,3.0,4,Elk Grove,95757,CA,Sacramento,2723.0,6125.0
M2746840296,single_family,320000,0.0,2.0,3,Rancho Cordova,95670,CA,Sacramento,1390.0,6534.0
M2177098972,single_family,289900,0.0,1.0,2,Sacramento,95821,CA,Sacramento,943.0,5227.0
M2983347637,single_family,299900,0.0,1.0,3,Sacramento,95821,CA,Sacramento,1229.0,10019.0
