,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
0,M1871614480,condo,475000,0.0,2,2,Los Angeles,4049 Via Marisol Apt 322,90042,CA,Los Angeles,1102
1,M1521023494,condo,525000,1.0,2,2,Burbank,8038 Via Latina,91504,CA,Los Angeles,1244
2,M2286048569,condo,1748000,1.0,3,3,Playa Vista,5735 Dawn Crk,90094,CA,Los Angeles,2628
3,M9715181242,condo,663990,3.0,3,4,Winnetka,20612 Desert Ash Ln,91306,CA,Los Angeles,1918
4,M9295211483,condo,624990,3.0,3,3,Winnetka,8221 Oakhaven Ct,91306,CA,Los Angeles,1786
5,M1227722304,condo,569900,0.0,3,2,San Pedro,1915 Mount Shasta Dr Unit 159,90732,CA,Los Angeles,1572
6,M1418431577,condo,739000,0.0,2,2,Westwood Century City,10645 Wilshire Blvd Apt 303,90024,CA,Los Angeles,1126
7,M1825620693,condo,359000,0.0,3,2,Harbor City,1436 257th St Unit 106,90710,CA,Los Angeles,1083
8,M2343780116,condo,3295000,1.0,2,2,Los Angeles,10800 Wilshire Blvd Apt 1302,90024,CA,Los Angeles,2840
9,M1936005199,condo,559950,1.0,1,2,Burbank,9667 Via Torino Unit 152,91504,CA,Los Angeles,1151
10,M1267835532,condo,289000,0.0,2,2,Tarzana,18620 Hatteras St Unit 247,91356,CA,Los Angeles,910
11,M1637288952,condo,544888,0.0,2,2,Los Angeles,316 N Avenue 66 Apt 7,90042,CA,Los Angeles,1069
12,M2837294582,condo,569900,0.0,2,2,Los Angeles,7033 LA Tijera Blvd Apt J201,90045,CA,Los Angeles,1632
13,M1973037701,condo,339900,0.0,1,1,Woodland Hills,5510 Owensmouth Ave Apt 219,91367,CA,Los Angeles,610
14,M1241413978,condo,289000,0.0,2,2,Tarzana,18620 Hatteras St Unit 243,91356,CA,Los Angeles,910
15,M2521350039,condo,429900,0.0,3,3,Panorama City,7869 Ventura Canyon Ave Unit 301,91402,CA,Los Angeles,1286
16,M9229843151,condo,1079000,1.0,2,2,Studio City,4322 Gentry Ave Unit 103,91604,CA,Los Angeles,1435
17,M2292677535,condo,240000,0.0,1,2,Pacoima,12601 Van Nuys Blvd Unit 218,91331,CA,Los Angeles,666
18,M2903662596,condo,749900,0.0,2,1,Los Angeles,10501 Wilshire Blvd Unit 1204,90024,CA,Los Angeles,888
19,M2812691477,condo,100000,0.0,1,1,Los Angeles,3320 3/4 W 76th St,90043,CA,Los Angeles,672
20,M1829923582,condo,1099000,0.0,3,3,Los Angeles,10520 Wilshire Blvd Apt 306,90024,CA,Los Angeles,2071
21,M9556421113,condo,995000,1.0,1,1,Los Angeles,877 Francisco St Apt 1911,90017,CA,Los Angeles,968
22,M2468121646,condo,749000,1.0,2,2,Studio City,12020 Guerin St Apt 102,91604,CA,Los Angeles,1410
23,M1948781088,condo,1495000,0.0,2,2,Los Angeles,1130 S Flower St Apt 420,90015,CA,Los Angeles,2255
24,M2323409097,condo,930000,0.0,2,2,Los Angeles,1871 Greenfield Ave Apt 102,90025,CA,Los Angeles,1540
25,M1206726416,condo,1850000,0.0,2,1,Los Angeles,1855 Industrial St Apt 309,90021,CA,Los Angeles,2360
26,M1825769695,condo,1450000,0.0,2,2,Los Angeles,877 Francisco St Apt 1227,90017,CA,Los Angeles,1184
27,M1718869635,condo,1439000,1.0,2,2,Marina del Rey,13700 Marina Pointe Dr Unit 1531,90292,CA,Los Angeles,1434
28,M2675780105,condo,180000,0.0,3,2,Van Nuys,6801 Mammoth Ave Apt 5,91405,CA,Los Angeles,1218
29,M1071362482,condo,850000,0.0,2,2,Pacific Palisades,16137 W Sunset Blvd Unit 101,90272,CA,Los Angeles,1125
30,M2624493944,condo,589900,1.0,2,3,Sun Valley,10831 Roycroft St Unit 25,91352,CA,Los Angeles,1376
31,M1228206761,condo,405000,0.0,2,2,San Pedro,1246 N Park Western Dr Unit 33,90732,CA,Los Angeles,961
32,M1670797792,condo,929000,0.0,3,2,Playa Vista,13080 Pacific Promenade Apt 324,90094,CA,Los Angeles,1170
33,M9637795533,condo,869990,2.0,2,2,Los Angeles,2909 W Exposition Pl Unit 5,90018,CA,Los Angeles,1660
34,M1044354823,condo,569999,1.0,2,2,Studio City,11306 Moorpark St Unit 10,91602,CA,Los Angeles,1036
35,M1266746596,condo,359999,0.0,3,2,Sylmar,14425 Foothill Blvd Unit 18,91342,CA,Los Angeles,993
36,M1131826214,condo,389900,1.0,2,2,Reseda,19231 Sherman Way Unit 51,91335,CA,Los Angeles,1170
37,M2867951889,condo,499000,0.0,4,3,Chatsworth,10229 Variel Ave Unit 2,91311,CA,Los Angeles,1896
38,M2430013506,condo,589000,0.0,1,2,Los Angeles,312 W 5th St Apt 514,90013,CA,Los Angeles,925
39,M2416215815,condo,995000,0.0,2,4,Los Angeles,956 W 42nd Pl,90037,CA,Los Angeles,1958
40,M2584493067,condo,549000,1.0,2,2,Valley Village,11643 Chandler Blvd Apt 112,91601,CA,Los Angeles,1234
41,M2325099363,condo,269900,0.0,2,2,Pacoima,12601 Van Nuys Blvd Unit 243,91331,CA,Los Angeles,816
42,M1507446860,condo,779000,0.0,3,3,Sherman Oaks,14271 Dickens St Unit 102,91423,CA,Los Angeles,1819
43,M1275847006,condo,410000,0.0,1,1,Hollywood Hills East,3480 Barham Blvd,90068,CA,Los Angeles,812
44,M1533515105,condo,845000,0.0,2,4,Eagle Rock,1420 Yosemite Dr,90041,CA,Los Angeles,1616
45,M9757841036,condo,1460000,1.0,2,3,Studio City,4322 Gentry Ave Unit 205,91604,CA,Los Angeles,1799
46,M2159243174,condo,509950,1.0,2,3,Chatsworth,22218 Germain St Unit 4,91311,CA,Los Angeles,1747
