,index,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
0,0,M1810670691,condo,1175000,1.0,2,3,Santa Barbara,3734 State St Unit 111,93105,CA,Santa Barbara,2016.0
1,1,M1980681623,condo,690000,1.0,1,2,Santa Barbara,5305 Traci Dr,93111,CA,Santa Barbara,1154.0
2,2,M2202362193,condo,639000,1.0,1,1,Santa Barbara,2525 State St Apt 25,93105,CA,Santa Barbara,1352.0
3,3,M1149058150,condo,925000,1.0,2,2,Santa Barbara,4004 Via Lucero Apt 13,93110,CA,Santa Barbara,2010.0
4,4,M2058430239,condo,990000,0.0,2,1,Santa Barbara,105 W De La Guerra St Unit D,93101,CA,Santa Barbara,1116.0
5,5,M1628414157,condo,1435000,1.0,2,2,Santa Barbara,743 E Anapamu St,93103,CA,Santa Barbara,1767.0
6,6,M1061186832,condo,639000,0.0,2,2,Santa Barbara,1701 Anacapa St Unit 3,93101,CA,Santa Barbara,1242.0
7,7,M2091170403,condo,627500,0.0,2,3,Santa Barbara,3663 San Remo Dr Apt 2D,93105,CA,Santa Barbara,1268.0
8,8,M9409651885,condo,1297000,0.0,2,2,Santa Barbara,3736 State St Unit 220,93105,CA,Santa Barbara,1459.0
9,9,M1135830515,condo,725000,1.0,2,2,Santa Barbara,417 Via Rosa Unit 12,93110,CA,Santa Barbara,1192.0
10,10,M1487176969,condo,787700,0.0,2,3,Santa Barbara,1930 N Jameson Ln Unit A,93108,CA,Santa Barbara,1258.0
11,11,M1256274041,condo,749500,1.0,2,3,Santa Barbara,1026 E De La Guerra St Apt C,93103,CA,Santa Barbara,1376.0
12,12,M1052328910,condo,1425000,1.0,2,3,Santa Barbara,1044 Fairway Rd,93108,CA,Santa Barbara,1588.0
13,13,M2101700585,condo,740000,0.0,2,2,Santa Barbara,25 LA Cumbre Cir,93105,CA,Santa Barbara,1079.0
14,14,M2499334488,condo,639000,1.0,1,2,Santa Barbara,5095 Rhoads Ave Apt C,93111,CA,Santa Barbara,1260.0
15,15,M9757665302,condo,869000,0.0,2,2,Santa Barbara,5463 Tree Farm Ln,93111,CA,Santa Barbara,1758.0
16,16,M2864924604,condo,959000,0.0,3,3,Santa Barbara,262 Calle Esperanza,93105,CA,Santa Barbara,1646.0
17,17,M2015604885,condo,699000,0.0,2,2,Santa Barbara,3835 Mariana Way,93105,CA,Santa Barbara,1179.0
18,18,M2826827591,condo,649000,1.0,1,2,Santa Barbara,415 W Gutierrez St Apt 16,93101,CA,Santa Barbara,1047.0
19,19,M1771329781,condo,1269000,0.0,1,1,Santa Barbara,1308 Plaza De Sonadores,93108,CA,Santa Barbara,806.0
20,20,M1740469451,condo,480000,0.0,2,2,Santa Barbara,945 Ward Dr Spc 14,93111,CA,Santa Barbara,1120.0
21,21,M2893143299,condo,614000,1.0,1,2,Santa Barbara,969 Miramonte Dr Apt 5,93109,CA,Santa Barbara,1049.0
22,22,M1479185730,condo,835000,1.0,1,1,Santa Barbara,1426 Laguna St Unit A,93101,CA,Santa Barbara,662.0
23,23,M2729195897,condo,599000,0.0,1,1,Santa Barbara,331 Por La Mar Cir,93103,CA,Santa Barbara,3438.0
24,24,M1660857874,condo,4250000,1.0,3,3,Santa Barbara,531 Chapala St Unit G,93101,CA,Santa Barbara,1258.0
25,25,M2910420175,condo,715000,0.0,2,3,Santa Barbara,1932 N Jameson Ln Unit B,93108,CA,Santa Barbara,1451.0
26,26,M1994274059,condo,1289000,0.0,2,2,Santa Barbara,3724 State St Unit 207,93105,CA,Santa Barbara,1319.0
27,27,M2641658198,condo,749000,1.0,2,2,Santa Barbara,34 Ocean View Ave Apt 5,93103,CA,Santa Barbara,1009.0
