,property_id,prop_type,price,baths_half,baths_full,beds,city,line,postal_code,state_code,county,building_size
0,M1051675945,condo,145000,0.0,2.0,3,Bakersfield,2601 Edmonton St Apt 12A,93309,CA,Kern,1312.0
1,M1219495337,condo,175000,0.0,2.0,2,Bakersfield,5800 Sundale Ave,93309,CA,Kern,1079.0
2,M1654299833,condo,155000,1.0,2.0,3,Bakersfield,1405 Gemini Ct,93309,CA,Kern,1452.0
3,M1794734872,condo,285000,0.0,2.0,2,Bakersfield,8000 Kroll Way Apt 26,93311,CA,Kern,1362.0
4,M1719980123,condo,459000,1.0,3.0,4,Bakersfield,144 Stockdale Cir,93309,CA,Kern,3231.0
5,M1490669451,condo,199000,0.0,2.0,3,Bakersfield,5700 Kirkside Dr Apt C,93309,CA,Kern,1576.0
6,M2987560309,condo,124900,1.0,1.0,2,Bakersfield,2626 Cleo Ct Unit 24,93306,CA,Kern,1392.0
7,M2455550827,condo,129000,0.0,2.0,3,Bakersfield,3700 Q St Apt 125,93301,CA,Kern,1522.0
8,M2988392967,condo,167000,1.0,1.0,3,Bakersfield,3901 Union Ave Unit 5,93305,CA,Kern,1520.0
9,M1652697398,condo,155000,1.0,2.0,3,Bakersfield,1429 Gemini Ct,93309,CA,Kern,966.0
10,M1571942100,condo,127000,1.0,1.0,2,Bakersfield,,93309,CA,Kern,1670.0
11,M1376459487,condo,189990,0.0,2.0,2,Bakersfield,1325 Thunderbird St,93309,CA,Kern,990.0
12,M2962112042,condo,119950,0.0,2.0,2,Bakersfield,3333 El Encanto Ct Apt 55,93301,CA,Kern,1024.0
13,M2347949560,condo,100000,1.0,1.0,3,Bakersfield,510 Real Rd Apt 37,93309,CA,Kern,1838.0
14,M1527860862,condo,224000,0.0,2.0,3,Bakersfield,5700 Kirkside Dr,93309,CA,Kern,1197.0
15,M2900382947,condo,117000,0.0,2.0,3,Bakersfield,4701 Belle Ter Apt E,93309,CA,Kern,980.0
16,M2494997974,condo,99950,0.0,1.0,2,Bakersfield,6020 Almendra Ave Apt B,93309,CA,Kern,1417.0
17,M1550327854,condo,155000,1.0,2.0,3,Bakersfield,1325 Capricorn Ct,93309,CA,Kern,2022.0
18,M2455969160,condo,204000,0.0,2.0,3,Bakersfield,2000 Ashe Rd Unit 36,93309,CA,Kern,1700.0
19,M1357361655,condo,180000,1.0,2.0,3,Bakersfield,4208 Tierra Verde St Apt 3,93301,CA,Kern,1398.0
20,M2760642571,condo,139500,0.0,2.0,3,Bakersfield,4801 Virgo Ct Apt 7,93309,CA,Kern,966.0
21,M1571904835,condo,105000,1.0,1.0,2,Bakersfield,4800 Nordic Dr Apt C,93309,CA,Kern,1368.0
22,M1812183768,condo,149900,0.0,2.0,3,Bakersfield,3600 O St Apt 25,93301,CA,Kern,936.0
23,M2986460521,condo,91000,0.0,2.0,2,Bakersfield,3605 Sampson Ct Apt A,93309,CA,Kern,550.0
24,M2974670481,condo,75000,0.0,1.0,1,Bakersfield,1618 E 11th St,93307,CA,Kern,1118.0
